date_id,full_date,year,month,month_name,quarter,day,week
113,2025-06-01,2025,6,June     ,2,1,22
114,2025-02-21,2025,2,February ,1,21,8
115,2025-01-19,2025,1,January  ,1,19,3
116,2025-07-15,2025,7,July     ,3,15,29
117,2025-06-27,2025,6,June     ,2,27,26
118,2025-03-28,2025,3,March    ,1,28,13
119,2025-04-04,2025,4,April    ,2,4,14
120,2025-05-05,2025,5,May      ,2,5,19
121,2025-04-25,2025,4,April    ,2,25,17
122,2025-06-07,2025,6,June     ,2,7,23
123,2025-08-30,2025,8,August   ,3,30,35
124,2025-08-27,2025,8,August   ,3,27,35
125,2025-07-17,2025,7,July     ,3,17,29
126,2025-01-24,2025,1,January  ,1,24,4
127,2025-04-01,2025,4,April    ,2,1,14
128,2025-06-14,2025,6,June     ,2,14,24
129,2025-03-31,2025,3,March    ,1,31,14
130,2025-01-20,2025,1,January  ,1,20,4
131,2025-05-03,2025,5,May      ,2,3,18
132,2025-08-01,2025,8,August   ,3,1,31
133,2025-05-12,2025,5,May      ,2,12,20
134,2025-01-14,2025,1,January  ,1,14,3
135,2025-05-13,2025,5,May      ,2,13,20
136,2025-06-04,2025,6,June     ,2,4,23
137,2025-03-30,2025,3,March    ,1,30,13
138,2025-04-02,2025,4,April    ,2,2,14
139,2025-01-27,2025,1,January  ,1,27,5
140,2025-08-31,2025,8,August   ,3,31,35
141,2025-03-29,2025,3,March    ,1,29,13
142,2025-02-18,2025,2,February ,1,18,8
143,2025-03-19,2025,3,March    ,1,19,12
144,2025-08-17,2025,8,August   ,3,17,33
145,2025-03-10,2025,3,March    ,1,10,11
146,2025-08-09,2025,8,August   ,3,9,32
147,2025-02-23,2025,2,February ,1,23,8
148,2025-07-25,2025,7,July     ,3,25,30
149,2025-06-16,2025,6,June     ,2,16,25
150,2025-07-24,2025,7,July     ,3,24,30
151,2025-01-01,2025,1,January  ,1,1,1
152,2025-06-11,2025,6,June     ,2,11,24
153,2025-07-03,2025,7,July     ,3,3,27
154,2025-07-09,2025,7,July     ,3,9,28
155,2025-07-28,2025,7,July     ,3,28,31
156,2025-03-16,2025,3,March    ,1,16,11
157,2025-04-28,2025,4,April    ,2,28,18
158,2025-04-15,2025,4,April    ,2,15,16
159,2025-08-22,2025,8,August   ,3,22,34
160,2025-08-24,2025,8,August   ,3,24,34
161,2025-07-18,2025,7,July     ,3,18,29
162,2025-02-20,2025,2,February ,1,20,8
163,2025-05-22,2025,5,May      ,2,22,21
164,2025-05-19,2025,5,May      ,2,19,21
165,2025-05-17,2025,5,May      ,2,17,20
166,2025-04-09,2025,4,April    ,2,9,15
167,2025-05-18,2025,5,May      ,2,18,20
168,2025-02-06,2025,2,February ,1,6,6
169,2025-02-26,2025,2,February ,1,26,9
170,2025-02-16,2025,2,February ,1,16,7
171,2025-01-31,2025,1,January  ,1,31,5
172,2025-03-21,2025,3,March    ,1,21,12
173,2025-01-12,2025,1,January  ,1,12,2
174,2025-08-15,2025,8,August   ,3,15,33
175,2025-07-26,2025,7,July     ,3,26,30
176,2025-08-03,2025,8,August   ,3,3,31
177,2025-08-23,2025,8,August   ,3,23,34
178,2025-01-26,2025,1,January  ,1,26,4
179,2025-06-26,2025,6,June     ,2,26,26
180,2025-02-27,2025,2,February ,1,27,9
181,2025-03-18,2025,3,March    ,1,18,12
182,2025-05-29,2025,5,May      ,2,29,22
183,2025-03-13,2025,3,March    ,1,13,11
184,2025-04-19,2025,4,April    ,2,19,16
185,2025-06-15,2025,6,June     ,2,15,24
186,2025-07-20,2025,7,July     ,3,20,29
187,2025-04-24,2025,4,April    ,2,24,17
188,2025-05-27,2025,5,May      ,2,27,22
189,2025-04-16,2025,4,April    ,2,16,16
190,2025-01-25,2025,1,January  ,1,25,4
191,2025-03-05,2025,3,March    ,1,5,10
192,2025-03-04,2025,3,March    ,1,4,10
193,2025-02-28,2025,2,February ,1,28,9
194,2025-04-07,2025,4,April    ,2,7,15
195,2025-05-07,2025,5,May      ,2,7,19
196,2025-07-08,2025,7,July     ,3,8,28
197,2025-04-29,2025,4,April    ,2,29,18
198,2025-07-16,2025,7,July     ,3,16,29
199,2025-06-20,2025,6,June     ,2,20,25
200,2025-03-20,2025,3,March    ,1,20,12
201,2025-01-28,2025,1,January  ,1,28,5
202,2025-02-04,2025,2,February ,1,4,6
203,2025-08-29,2025,8,August   ,3,29,35
204,2025-01-05,2025,1,January  ,1,5,1
205,2025-06-22,2025,6,June     ,2,22,25
206,2025-07-14,2025,7,July     ,3,14,29
207,2025-01-18,2025,1,January  ,1,18,3
208,2025-06-17,2025,6,June     ,2,17,25
209,2025-01-21,2025,1,January  ,1,21,4
210,2025-02-24,2025,2,February ,1,24,9
211,2025-01-29,2025,1,January  ,1,29,5
212,2025-05-14,2025,5,May      ,2,14,20
213,2025-04-21,2025,4,April    ,2,21,17
214,2025-01-09,2025,1,January  ,1,9,2
215,2025-03-14,2025,3,March    ,1,14,11
216,2025-02-02,2025,2,February ,1,2,5
217,2025-03-03,2025,3,March    ,1,3,10
218,2025-02-10,2025,2,February ,1,10,7
219,2025-04-20,2025,4,April    ,2,20,16
220,2025-02-13,2025,2,February ,1,13,7
221,2025-02-15,2025,2,February ,1,15,7
222,2025-05-08,2025,5,May      ,2,8,19
223,2025-06-12,2025,6,June     ,2,12,24
224,2025-03-07,2025,3,March    ,1,7,10
225,2025-08-28,2025,8,August   ,3,28,35
226,2025-07-30,2025,7,July     ,3,30,31
227,2025-04-12,2025,4,April    ,2,12,15
228,2025-03-26,2025,3,March    ,1,26,13
229,2025-05-23,2025,5,May      ,2,23,21
230,2025-07-23,2025,7,July     ,3,23,30
231,2025-01-11,2025,1,January  ,1,11,2
232,2025-08-25,2025,8,August   ,3,25,35
233,2025-08-20,2025,8,August   ,3,20,34
234,2025-08-26,2025,8,August   ,3,26,35
235,2025-08-02,2025,8,August   ,3,2,31
236,2025-08-05,2025,8,August   ,3,5,32
237,2025-03-25,2025,3,March    ,1,25,13
238,2025-08-10,2025,8,August   ,3,10,32
239,2025-04-08,2025,4,April    ,2,8,15
240,2025-01-23,2025,1,January  ,1,23,4
241,2025-01-30,2025,1,January  ,1,30,5
242,2025-03-01,2025,3,March    ,1,1,9
243,2025-05-09,2025,5,May      ,2,9,19
