category_id,category
138,"Croissants, Cookies & Quick Bites"
139,South Indian Menu
140,New Flavour Cupcakes
141,Mutton Main Course
142,Thali & Platters
143,Paneer (Indian Cheese)
144,Laddu and Soan Papdi
145,Mojitos
146,All The Way From China
147,Spice Ka Tadka
148,Menu At @149
149,Curries & dry main course
150,BENTO CAKE
151,Chinese Items ( Garlic)
152,Party Item
153,1/2kg Cakes
154,Wheat Momos
155,Middle Eastern And Persian Salads
156,NATORR Premium Burgers
157,Special Items
158,High Protein South Specials
159,Sea Food
160,Starter & Chinese
161,Story-house-fries
162,Harvest Festival Specials
163,Everyday Meals For One
164,Makar Sankranti Specials 
165,Rice And Bowls
166,Chinese Special
167,Soan Papdi
168,Pizza
169,Lunch Dinner
170,Water& Plate
171,Mouth Watering Items
172,Non Veg Soups
173,Cold Beverages
174,Pastas (High Protein)
175,Boba drinks
176,Non Vegetarian
177,Make you own combo
178,Mojito
179,Wraps And Shawarmas And Rolls
180,Protein Plus and Burgers with Millet Bun
181,Bento Meal Box
182,Rice And Pulao
183,Shanghai
184,Ice Cream Scoops
185,Chicken Appetizers
186,Korean Momo (Newly Launched)
187,Anytimers
188,SOYA KA JALWA
189,Indian Main Course (dal - Lentils)
190,Non Veg Dishes
191,Chocolate Milkshakes
192,Rice & Breads
193,Salad N Curd
194,Breakfast All Day & Indian Snacks
195,MILK SHAKES
196,Double Chicken Kabab Roll
197,Ghee Roast Masala Dosa
198,Non Veg Pizzas
199,Gourmet Veg Pasta
200,Kulfies
201,Breakfast Box
202,Indian Fish
203,Ganesh Chaturthi Specials
204,Veg Momo
205,Kuch Meetha Ho Jaye
206,Egg Items
207,Late Night Special
208,Chinese   Veg
209,Vegan (sorbets And Popsicles)
210,Appetizer
211,Paneer Dishes
212,Rice&Pulao
213,Roll Cakes
214,Continental Bowls
215,Hut Caf?
216,CHOCOLATE BAR SHAKES
217,Hot Dog & Burgers
218,Barish special Slice Kulfi IceCream
219,( Chinese)
220,Continental Veg
221,Seafoods Dry & Gravy
222,Fries and Sides
223,Best in Ganesh Utsav Specials
224,Indian Snack
225,Snacks And Chat
226,North Gravy
227,Metal Handi - Shaan Biryani (Serves 2)
228,Chicken Popcorn
229,Veg Tandoori Snacks
230,Sides
231,Shuruwat
232,Fresh Varieties 1 Plate Online
233,Chopsy
234,Hot Dog
235,Thanda & Meetha
236,Cold Room
237,Dry Vegetables
238,"Cakes, Muffins & More"
239,South Indian Delights
240,Biryani Lunchbox
241,Chicken Pops
242,Biryani Sampler
243,Mango Delights
244,All Time South Indiian
245,MAIN COURSE VEG
246,Lunch Items
247,Mandi Rice
248,Boba & Shakrs
249,Kothu Parotta
250,Hot Beverage
251,Salad & Raitha
252,Milkshakes (ice Cream Shakes)
253,Metal Handi - Nawabi Biryani (Serves 2)
254,Soup Bowls
255,Kunafa
256,1/2 Kg Cakes
257,Mini Pizzas
258,Upvas Snacks
259,BIRIYANI SPECIAL
260,Eclairs
261,Breads and Accompaniments
262,Large Plates
263,(Pasta)
264,"Raita, Salads & Papad"
265,Veg Double Pizza Mania
266,THAI FOOD
267,Roll Item
268,Cookies
269,Curd And Raita
270,Nammura Benne
271,Mini Cakes (150 Grams - Names Not To Be Written On Cake
272,Just Bites
273,Refreshments
274,Big savings combo
275,Vada/ Bonda/ Puri
276,Sumthing Soupy
277,Fruit Falooda
278,Scoop
279,Seafood with rameyeon
280,Supreme Regular Pizza
281,Korean Donut
282,Glass Desserts
283,Non-Veg Homely - LIGHT MEAL
284,Non Veg Chinese Rice And Noodles
285,Variety Rice
286,Dal's
287,Chinese Main Course (non-veg)
288,Morning Breakfast
289,Live Counter Snacks
290,Soya Gravy Items
291,Dinner
292,Premium Family Tubs (700ml)
293,nota
294,SIDES AND DIPS
295,Pasta - Penne | Spaghetti
296,Tawa Kebab
297,Hot Pot
298,Dry Cake And Tea Cake
299,Smoked pork
300,Rice Bowl Combo's
301,Sweet Crepes
302,Soups and Salads
303,Wings & Tenders
304,Dabangg Kolkata  Roll
305,Anniversary Special
306,Rokali Combo
307,Kids Special - Pizza Party
308,Chakli and Mathri
309,Classic Ice Cream Flavour
310,Desserts Sundaes
311,Special Bread Toast
312,Tea N Snacks
313,Roti & Naan
314,Brownies & Lava Cakes
315,Family And Party Pack Combo
316,Topping & sides
317,Crafted Desserts
318,Cheezy Rice Pot
319,Hyderabadi Biryani [Single Portion]
320,Platters
321,Pav Bhaji
322,Mutton Rolls [Big 9]
323,BIRYANI VARIETY
324,Special Magic Momos
325,Kaju Sweets
326,Chinese Fried Rice
327,Cinnamon Rolls - On The Go
328,Jain Special Category
329,McCafe
330,750 ml Ice creams
331,Sausage
332,MAIN COURSE
333,Chinese
334,Non veg lovers
335,Shake mocktail
336,Milk Shakes & Smoothies
337,Tibetan Delicacies
338,Open Item
339,"Tea, Snacks & Breakfast"
340,750 Ml Ice Creams
341,Chinese Starters Non Veg
342,Bread & Rice
343,Original Non-Veg Main Course
344,Chinese (Veg)
345,Kadhi Khichdi Thali
346,Pizza-time
347,Cold Blends
348,Kashmiri BBQ
349,Tandoori and Fried Momos
350,Egg Special
351,Stuffed Dosas
352,Southern Specials
353,What's New?
354,Peri Peri Momo
355,Naga Pickles
356,TANDOORI
357,Summer's THANDAI
358,Brownies & Choco Lava
359,North India
360,Grilled
361,Our Signature
362,Home Style Curry
363,Veg Speacial Pizzas
364,Chocolate & Coffee
365,Peseratu
366,Combos With Drink
367,ALL DAY LUNCH SPECIAL MEAL BOX (SAVE RS 115)
368,Late Night Non-Veg
369,Guiltfree Desserts
370,Chocolate Ice Creams
371,Dal Main Course
372,South Indian Rice   
373,Thenthuk (Soup With Short Noodles)
374,Gluten Free Desserts
375,Pizza Mania
376,Combo mutton /chicken deluxe thali
377,Pakodi Snacks
378,Tacos 3 piece
379,Special Family Pack Biryanis
380,Cakes [Half Kg]
381,Bhaji & Pulao ( Bhaji Pao Kilo K Bhaw Se)
382,Baker's Confectionery
383,Sk Special  Thali
384,Healthy Soya Chap Special Items
385,Dryfruit Sweets
386,Chinese Veg
387,Rolls hut special
388,Premium Hot Chocolates
389,Raita & Papad
390,"Combo,Feast Meal"
391,Barish Combo Save up to41%
392,Shawarma Rolls
393,Veg Fried Rice
394,Loly Pop Dry
395,Cafe Aurora Soup Snacks
396,Cakes [1 Kg]
397,Biryani Feast Thali
398,REGULAR 7 PIZZAS | NON-VEG [SERVES 1]
399,Cream Cruz
400,Rosogolla
401,Assorted Breads
402,Indian
403,Pizza's
404,Winner winner chicken dinner
405,Veg rice bowls
406,Farsan
407,Prepack Sundae
408,Desi Ghee Sweets
409,Evening Specials
410,Morning & Evening Special
411,Jar Cookies
412,Original Recipe Cheesecakes
413,Egg Gravy
414,Classic Hot Chillies
415,Noodles Large
416,Rakhi Special Assorted Sweet Box
417,Indian Appetizers (mutton)
418,Crazy deal
419,Tandoor Non Veg
420,Meal
421,Chinese Wok (Nonveg)
422,Combo For 5-non Veg
423,Slices
424,Al Faham
425,Tandoor
426,Naan Aur Rotiyan
427,Popsicle Sorbet  Icecream
428,Gwalia Special Thali
429,Oriental Starters
430,"Al-Faham- Juicy,Creamy,Butter"
431,Bucket Biryani (Serves 4)
432,Chinese Starters (non-veg)
433,Mushroom Special
434,Super Saver Combo @ 149
435,"Chinese, Thai & Orientel"
436,Meals & Combos
437,"Cold Iced Coffee,Frappe  Floats"
438,Vendor Coffee Beans
439,Chicken Mains
440,Pasta & Macaroni
441,Cheese Pastry
442,Fresh Fruit Juices & Milk Shakes
443,Uttappam
444,Paratha Corner
445,Appettizers
446,"Set Menu (served With Rice,miso Soup)"
447,Late Night Binge Combos
448,Chinese Veg Starter
449,BAO
450,Wow!  Momo  On  Wow China
451,Signature Cakes
452,Dal Aap Ki Pasand
453,MACRONE
454,Tandoor Starter
455,Cake [500 Gm]
456,Maharaja Non Veg Thali
457,Indian Appetizers (fish & Prawns)
458,"Rice, Papad & Raita"
459,Breakfast ( Veg )
460,Pizzas & Bruschettas
461,Shake
462,Seafood & Thai Dishes
463,Chicken Biryani
464,Sushi (Uramaki)
465,Rava Dosas
466,Meal For Family
467,Dal Bati
468,Cheesecakes
469,No Added Sugar Range
470,Wok And Roll Combo
471,Kebab's
472,Monsoon Special / Sawan Special
473,Festive special
474,Festive Special Gift Hampers
475,Classic Pizza Regular
476,Blends From Aromas Plantation
477,Ganesh Chaturthi Spl Modak
478,Juice & Shake
479,Milk Shakes
480,Rice [o]
481,Thali & Mini Meals
482,Chicken Chinese Main Course
483,Mixed Chow
484,Asian Fusion  Sundaes
485,Deals
486,Mixed Soups
487,Our-house-roomali-rolls
488,Lemonade
489,Exotic Vadapav
490,Chinese Appetizers (veg)
491,Sandwich Brown Bread
492,Drink
493,Starters Veg
494,Hot Soup
495,Chilli Special Veg
496,Premium Thalis
497,Bun & Omelette
498,Mutton items
499,Chicken Rice
500,Jain Food (without Onion Garlic)
501,Signature Sweets
502,Idiyappam Curry Bowls
503,Special Kulchas
504,Tandoori Starters
505,Uthappam
506,Savories
507,Pizza - 7 Inches
508,Asian Special
509,Any Time
510,Combo & Meals
511,Fathers Day Special
512,Finger Food Veg
513,French fries
514,Utthapam
515,Vada
516,Thali & Meals
517,Chinese Dry
518,For One Combos
519,Rice Biryani & Fried Rice
520,Biryani & Fried Rice
521,Continental 
522,Vinayaka Chaturthi Spl
523,HOT & COLD
524,Buff Dishes
525,Raitha
526,Mushroom Roll
527,No Sugar Ice Cream Cups
528,Tea Time Snacks
529,CHINESE COMBOS
530,Non Veg Momos
531,Veg Fries
532,Non-Veg Tandoori Snacks
533,Parsi
534,Khichdi
535,NOODLES VEG
536,Vegetable Curries
537,Chinese Items ( Keema Items)
538,Hot Dog & Burger
539,Sorbet Ice Creams
540,Indian Curries
541,Quick Bites From Egg
542,Diwali Gift Hamper
543,Baked Items
544,Ras Sweets
545,Basudi
546,Chicken 4' Season (4 Pcs)
547,Gadbad/Custard
548,Zerpian
549,Classic Tea
550,Puffs & Bakery Bites
551,Slow Churn: Artisanal Fruit Ice Cream
552,Chinese main course
553,Sandwich Bar
554,Momos & Spring Roll
555,Allday Breakfasts
556,Buy 1 Get 1 @ 169 each
557,Popsicle Regular  Icecream
558,Tea/ Coffee
559,Regional Starter (veg)
560,Ghee Pongal
561,Combo Meal 2 Persons
562,Naga Mini Meals
563,"Cold, Soft & Package Beverage"
564,Make your Own Pizza
565,Main Dish
566,Pocket Friendly Combo
567,South Indian Dish
568,Main Course Large
569,Accompaniments
570,Janmasthmi Special
571,Pan Fried Noodles
572,Special
573,Non-Veg CHEESE BURST Thin Crust Pizzas [10 Large]
574,Grilled Sandwich
575,Breakfast A La Carte
576,Beef Items
577,MAIN Course(100% SHUDH DESI Ghee)
578,Pizzas & Pasta
579,Items Under Rs 89
580,2 Burgers @ Rs 139
581,Millet Roti with Curry
582,Biryani Variety
583,Rakshabandhan Special
584,Curated Meal Combos
585,Biryani Combos
586,Premium Sweets
587,Gujarati Nasta
588,Premium Pizza Regular
589,Tandoori starters
590,Honey chilli potato
591,Everyday Value Meals
592,Bucket & Box Biriyani
593,Choice of Rice
594,Frozen Yogurt Bars - Multipack
595,Desi Indian Snacks 
596,Milkshakes
597,(Sides)
598,Mini Thali Meals
599,Veg Curries
600,Special Chicken Bucket
601,Cold Tea
602,Chinese Combos
603,Family And Friends Combos
604,Varieties Of Curd Rice 
605,Breads & Bruschetta
606,Beverages (cold)
607,Cutlets
608,Curry
609,Banglore Dosa
610,Potato Tornado
611,Labubu Cake
612,Bread
613,Nizami Hyderabadi Dum Biryani
614,Special Meal Parcel
615,Fasting
616,Khari/Puffs
617,Harley's Signature Medovik Pastry
618,Payasam
619,Continental Breakfast
620,Shabhalay
621,Rice
622,Healthy Products
623,Biryani & Rice
624,Barish Combo (Save upto 40%)
625,Starter Veg
626,Bread Slice
627,Gourmet Veg Pan Pizza
628,Chicken Shawarma Roll Combo
629,Biscuit
630,Naga Meals
631,Special Dosa
632,Hand Scooped 750 ML Family Pack (Serve 6-8)
633,Oriental Noodles
634,Rice In Non Veg
635,Gourmet Veg Pizza
636,Jolbhara / Talsash
637,Momo Platter 16 Pcs
638,Chat Corner 
639,Malai Sweets
640,Keto Stuffed Parathas
641,Handi Breads(tandoori)
642,Fruity Delight
643,Soup Noodles
644,Dal Preparation
645,Super Combo
646,Super Saver Baskets (Serves 3-5)
647,Non Veg Rice and Noodles
648,Premium Pizza
649,Punjabi Thali
650,Dal Bati Regular
651,Soup Veg
652,Poha
653,Mathi
654,Homemade Soups
655,Paratha Meals
656,Chinese Wraps
657,Refreshers
658,Sugar Free Mithai
659,Veg Starter Items
660,Rice/Pulao/ Biryani
661,Dilli Ki Chaat
662,Taco's
663,Upwas Special Bowls
664,Ice Creams In Cup
665,Chicken Curry
666,Gathiya
667,Combo Value Meal
668,Burgers And Sandwiches
669,Dal Item
670,Burgers & Sandwichs
671,Family Prepacks
672,Special Flavour Ice Creams
673,Thanda
674,Curries & Sides
675,Mutton Kebab Roll
676,Gudbud Sundae Jars (Serves2)
677,JAPANESE/KOREAN
678,Tikka & Kebab Rolls
679,Extra Items
680,Value Meals starting at 259 (Serves 1)
681,TARTS
682,Swadh Signature
683,Make your Own Combo
684,Pies & Tarts
685,Desserts 
686,Soya Chaap
687,Super Saver Combo
688,Tandoori Kulcha & Paratha
689,Food Menu Items
690,Roti/ Naan/ Paratha
691,Wrap
692,Chinese Special Starters
693,SPECIAL MOMOS
694,Sandwiches (Served With French Fries)
695,Chinese Rice
696,MEAT
697,NEW Whopper Deluxe (Reg. Size Bun)
698,Far Eastern Gravy
699,Chef Harpal Singh Specials
700,Crazy Deals
701,Classics And Nuts Milkshakes
702,Roti & Thali
703,Steam and Fried Momos
704,Pocket Friendly Breakfast
705,Late Night Cravings
706,Dal Chawal
707,Pastry
708,Maggi & Poha
709,Arabian Grill & Shawarma
710,Kulcha
711,Korean Bowls
712,Deals Starting @89
713,Non Fruit Falooda
714,Iced Coffees
715,Savory
716,Platter's
717,Mithai Special Cake
718,Fish Finger
719,In-the-house-chef-special
720,Appetizers
721,NON-VEG BURGERS MEALS
722,Claypot Spl (startes)
723,Regular Pizzas
724,Tea & Coffee
725,Tandoori Se
726,"Bread,bun & Toast"
727,Chhena Sweets
728,Shawarmas
729,Viral Dubai Chocolate Special
730,South Indian Lunch Combo   
731,Festive Combos
732,Chatpata Tadka
733,Main Course (Indian)
734,Kids Special
735,Everyday Wow! Day
736,Kebab Corner
737,56 Bhog
738,Indian Thali
739,Dahi And Raita
740,Tteokbokki
741,Matcha Oasis Refresher
742,Roll Call
743,Wok
744,Naples Pizza
745,Parsas Special
746,MOJITOS
747,Rice Specialties
748,Vegetarian Starters & Special Pulao
749,South Indian Meals
750,Dal & Sabzi
751,1kg Eggless Cake
752,Lassi & Buttermilk
753,Beef
754,Croissant [p]
755,Packet items
756,Bakers Namkeen
757,Chillers
758,Exotic Teas
759,Seafood Gravy
760,Roll Items
761,Fruit Bowl
762,Chaat N Snacks
763,Chicken Blast Pizza
764,Southern Spiced Khichdis
765,Veg Soup
766,Cake & Pastries
767,Nonveg Bengali Special
768,Non Veg Chicken
769,Ghewar special
770,Tandoori & Barbeque
771,41 grams Protein Rolls
772,Dry Namkeens
773,Tawa Sigdi Tandoor
774,Momos 5 pcs
775,Sev
776,Biryani Spl
777,Lassi & Chai
778,Momos And Maggi
779,Chinese Kitchen
780,Sabji By Kg
781,Idlis
782,Executive Lunchbox
783,Signature Ice Cream Shakes
784,Cake Slices & Desserts
785,Krispy Kreme Doughnuts and Coffee
786,Chinese Magic Rice
787,Multi Cuisine
788,3D Customised Cake
789,Cinnamon Rolls - Bite Size
790,Momos & Snacks
791,Comfort Thalis
792,Curd / Yougurts
793,Desserts - Cakes & Muffins
794,Fry Farsan
795,Flavorful Rolls
796,NON-VEG MUNCHIES
797,High Protein Burgers 
798,Breakfast Items
799,Top Selling Combos
800,*New* High-Protein Rice Bowls
801,Indian Mutton
802,Paratha's & Roti 
803,Regional Starters (non-veg)
804,Non Veg Burger with French Fries
805,House Special
806,Egg Curry
807,Toastie
808,Nourishing
809,Traditional Sweets
810,Shawarma Chilli
811,Steam & Fries momos
812,Chinese Quick Bites
813,Soya Tandoori Roll
814,Non Veg Burger
815,Chinese Items ( Roll)
816,Biryani/pulao
817,Meal Menu
818,Coffee Starts @99
819,Twin Win (Save Upto Rs 70)
820,Kofte Ki Sabji
821,Prawn Noodles
822,Kachori
823,Main Course Regular
824,Alfaham Mandi
825,cham cham 
826,Festive Gifting Specials
827,Dessert Menu
828,Raita/Papad
829,Continental Starters
830,All day breakfast
831,Momo on Wow! China - Newly Launched
832,Channa
833,Late Night Bestsellers
834,Flavor Burst Burgers
835,From Garden
836,Broasted Combo
837,Gravy With Bones
838,Folded Pizza & Burgers
839,Mango Specials
840,Hampers & Gift Boxes
841,Snacks [si]
842,Vegetable Variety Rice
843,Veg Khajana Special
844,Burger & Sandwiches
845,WOK
846,Steamed Momos
847,Janmashtami Specials
848,Chilli Garlic Noodles
849,Toofani Biryani Combos
850,Veg Burger
851,Protein
852,Pepsi Combos
853,Mawa Sweets
854,Royal Curries & Breads
855,Garlic Breads & Starters
856,Chicken And Beef Center
857,Charcoal Grilled
858,Cake Jar
859,Pizza & Pasta
860,Noodle Dishes
861,Rice & Biryani
862,Bowl & Starter Combos [FREE Coke & Choco Lava w...
863,Healthy Dessert
864,Dairy Special
865,Rolls & wrap
866,Spl. Milk Shakes
867,Curry Items (Local)
868,Tandoor Combos
869,South Indian Snacks
870,Barfi
871,Juice
872,"Coffee Powders, Cookies N More"
873,Food Zillas Special
874,Chhattisgarh Week Specials
875,Pocket Friendly Roll
876,Fries & More
877,Egg Noodles
878,Maggie
879,Rosh
880,Combos For Twis
881,Ice Cream Desserts
882,Arabic Shawaya Mandi
883,Mughlai Kolkata Dum Biryani
884,Kaati Zone Combos
885,Egg special
886,MAIN COURSE FISH
887,Cold  Drinks
888,Chaat & More
889,Eid Special
890,Snacks Items
891,Jain Special
892,Savoury Donuts Special
893,Cookies Box (monocarton)
894,Family Tub [550 ML]
895,Tea And Coffee
896,Refreshing Beverages
897,Millet Express Classics
898,Dry Fruit Sweets [N]
899,Mini Thalis
900,Non Veg Footlong
901,Valley vista special august combo
902,Bento Cake
903,Pesarattu
904,Veg Chinese
905,Healthy Bowls
906,Koozi And Manthi
907,Mega burrito
908,Chinese Starters Small
909,Chicken Shawarma Rolls
910,Non Veg Special
911,Chicken dum full
912,Oriental Mains Non Veg
913,Waffles and Pancakes
914,Holi Special Items
915,Ice Cream Sticks
916,House Of Tandoor
917,Kalakand Sweets
918,Gujiya
919,Char Ka Dum
920,South Indian Sidish
921,Executive Meals
922,Beef 
923,Snacks/ Starters
924,Upper Crust Special Combos
925,Flavours of India
926,Gurukripa Special Meal & Thali
927,Ganpati Special [N]
928,Wow! Biryani
929,Chole Bhature
930,Snacks [n]
931,All Day Breakfast Combos
932,Jalebi
933,DAHI KE SHAUKEEN
934,Dumplings [6 Pcs]
935,Shorba
936,Jar
937,Chocolate
938,Tres Leches Cake
939,MNC Special Momos
940,70 mm Dosa's
941,Indian Breads
942,"Biryani , Pulao And Rice"
943,Matka biryani
944,Non-veg Starters
945,Non Veg Appetizers
946,Assamese Thali
947,Rain Special Hot Soups
948,Gourment Ice Cream Cup
949,Lite And Wholesome
950,Special Cream
951,Platter
952,Thick Pizza
953,Veg Rolls
954,Bucket Biryani - Family Pack
955,Fried Rice and Noodles
956,Loly Pop Chiness Gravy
957,COLLERS & SHAKERS
958,Momos 10 pcs
959,Chinese Items ( Noodles)
960,Rosa Pastas [Mixed Pink Sauce]
961,Hot Deals
962,Paratha And Eggs
963,Extra Sides
964,Kathi Roll
965,Indian Items
966,Chilli Noodles
967,Garlic Corner
968,Open Fire Grill
969,Continental Main Course
970,Flavoured Coffee
971,Rice Bowls Large
972,Choice Of Dal
973,B2G1 SPECIAL OFFER
974,Divine Duos = Desserts + Ice Creams
975,Four Course Meal
976,Meal Combo
977,Chaat
978,FRESH BREADS & NAAN
979,Non Veg Biryani
980,Diwali Dhamaka Offer
981,Seafood
982,Pizza - 10 Inches
983,Thin Crust Pizzas [Big 10]
984,Value Range Combos
985,100 ML Ice Cream Cups (Serve 1)
986,Cookies Namkeen & Mixture
987,Bestsellers
988,Chinese Items ( Macorani)
989,Shakes(o)
990,Momo Meal
991,Box of 3
992,Szechuan Noodles
993,Schezwan
994,Espresso Mocktails
995,Regular Ice Creams
996,Teej Specials
997,Flat Menu 149
998,North Indian Main Course
999,Kofte
1000,Chinese - Rice And Noodles
1001,Crazy Meal Combo
1002,Mava Sweets (khoya)
1003,Fruit Salad Icecream
1004,Dal And Khichdi
1005,Korean Thali
1006,Comboo Pack
1007,Puff / Patties
1008,Frappe
1009,Snacks Evening
1010,Chikki & Dates Collection
1011,Breakfast Menu
1012,BIG 10 PIZZAS | VEG [SERVES 2-3]
1013,Thick Shake
1014,Chowmeins
1015,Parcel
1016,Ready to Eat
1017,Snacks And Sandwich
1018,Cafe aurora rice noodles
1019,Choice Of Vegetable
1020,Starter ( Non- Veg)
1021,Cheese Cake/Slice
1022,Bar Cakes
1023,Dry Fruit Sweets
1024,Anjappar Super Combos
1025,Ice Cream Shakes
1026,South Indian Thali
1027,Nashville Glazed Fried Chicken
1028,Pizza & More
1029,Soan Papdi Collection
1030,Ice Cream Rocks
1031,Fries & Nachos
1032,Rice Specials
1033,Sugarfree Sweets & Rabri
1034,Lambs
1035,Kebab Platter
1036,Tandoori / Tikka / Kabab
1037,Laddu Collection
1038,Appetizers-vegetarian
1039,Veg Pizzas
1040,Pesto Pasta
1041,BIRIYANI
1042,Mawa dryfruit sweet
1043,Kids Menu
1044,Coffee And Milkshakes
1045,Pool Mint Mozito
1046,Hand Rock Coffee
1047,Dal Bafla Thali
1048,Boba Tea
1049,Bento box
1050,China Town Specials
1051,Special Dalbati
1052,Grilled Mutton Mandi
1053,Kashmiri Food De Linz
1054,McCafe.
1055,Meals   
1056,Kolkata roll
1057,Pulao
1058,Eat At Desk Meals
1059,Super Saver Combos
1060,Chinese ( Non - Veg)
1061,Veg. Curries
1062,Paneer In Gravy
1063,Khazana-E-Basmati
1064,Indian Bread  
1065,Rabri Falooda
1066,Seafood Mains
1067,Non Veg Chinese Starters
1068,Laddu
1069,IN BETWEEN BREADS
1070,Beverages [O]
1071,"Pizza, Pasta And Continental Delights"
1072,Appetizers Fish
1073,Recommended
1074,Corn salad
1075,GIFTING SWEETS AND DRY FRUITS
1076,Anupriya Bhoj
1077,Pastas & Burgers
1078,Dosa Masala
1079,Special Bengali Sweets
1080,Crispy Fried Chicken
1081,Fathers day
1082,Rice Bowlz
1083,Main Course (Chinese)
1084,Tit Bits
1085,Myfroyoland Original Frozen Yogurt
1086,Group Sharing Combos
1087,Pork Special
1088,Non Coffee Based Hot Beverages
1089,Kadai Special
1090,Veg Wrap
1091,Toasties
1092,Sandwich & Wraps & Maggi's
1093,Tiprasa Ni Chamung
1094,Biryani & Rice In Bowl
1095,Special Burger
1096,Makhan Bhog Sweets
1097,Tidbits
1098,Indian Main Course Veg
1099,Old Delhi Famous Fried Chicken
1100,Ghee
1101,Basmati khazana
1102,DESSERT
1103,Dosa Specials
1104,Cake @Pastry
1105,Chinese Magic
1106,Y Not Specials ( Fillers )
1107,Main Course Chicken
1108,Veg Combos
1109,Hyderabadi Biryani ( Single Portion)
1110,Sandwich & burger
1111,Freid Rice And Chowmein
1112,Spl. prawns
1113,Wraps And Rolls
1114,Schezwan Dishes
1115,Wow! Bowls (Newly Launced)
1116,Thepla
1117,Pockets
1118,Premium Cakes & Pastries
1119,Penda & Fruit Cake
1120,Egg Omelette
1121,Protein Minis
1122,Raita And Salad
1123,Veg Chinese Rolls
1124,Chinese Traditional Veg
1125,Bti Specials   
1126,Exclusive Combo
1127,Lava Cake
1128,Janmashtami Special Falahari Sweets
1129,Brack fast
1130,Indian Breads N Rice
1131,Tandoori Roti
1132,Chinese Appetizers (paneer)
1133,Chillies
1134,Combo and Meals
1135,Mini Cakes
1136,Biryani In The House
1137,Must Try
1138,Double Patty Burgers & Meals
1139,Special offers
1140,Sweets (Mithai)
1141,Monsoon Combos
1142,Amritsari Kulcha Thali
1143,Cookies Cup
1144,Chandni Chowk Ki Chaat
1145,Creamy Tandoori Momos
1146,Speciality Pizzas
1147,Softy Milkshakes
1148,Flower Bouquets & Cakes Combo
1149,Classic Biryani
1150,Breads
1151,Seafoods
1152,Juices
1153,From The Wok
1154,Foxnuts & Peanuts
