dish_id,dish_name
346,Belgian Chocolate milk Mini Pancakes
347,Double Masala
348,Red Rocket Pizza
349,Cold Coffee Shake
350,Babycorn Mandi
351,Chicken Masala  
352,Subz-E-Biryani Thali with Kebabs
353,Caramel Regular Munch Combo
354,Ob Potato Peppery Tornado
355,Fabulous Hazelnut Chocobar x Seema Sajdeh - Single Pack
356,Hawkers Chilli Paneer
357,Paneer Puff Patties
358,Paneer Biryani With Raita
359,Chicken Keema Masala (Minced Meat ) + 3 Paratha + Salad
360,Chilli Chicken Momos (Steamed) (6 Pcs)
361,Red Spice Chutney
362,Mutton Korma (2 Pes)
363,Onebite Paneer Kurkure Momos (8pcs)
364,Chicken Chowmein Roll
365,Cold Badam
366,"Idli (1 Pc) & Vada (1 Pc) (Served with Chutney, sambar)                                  "
367,Peri Peri Fried Momos (Chicken)
368,Motu Patlu Kids Margherita Pizza Party
369,Veg Macaroni
370,Cheese Corn Capsicum Paratha
371,Veg Schezwan Rice 
372,Palak Paneer Paratha Lunchbox
373,Spl Malai Badam Milk 
374,Uthappam
375,Mushroom Fried Rice With Raita
376,Chicken Shefali [Full ]
377,Lucknowi Reshmi Chicken Tikka Biryani - Serves 1
378,Margherita Pizza 7 Inches 
379,Red Velvet Cake Pastry Slice
380,Cheese Paper Dosa
381,Veg Wraps Combo - Falafel Crunch Wrap + Peri Fries
382,Chicken pink sauce pasta penne
383,Mushroom Kolhapuri (250 Gms)
384,Dal Momo
385,Redvelvet Cake Eggless  1/2Kg
386,Gajar Pak
387,Paan Panna
388,Puzha Vatta Fish Fry
389,Crispy Fried Chicken Drums Stick With French Fries Pcs 2
390,Gobi Manchurian Dry
391,Zeera aloo dry
392,Lemon And Coriander Soup
393,Poori Bhaji (4 Pes)
394,Chicken Arrabiata Risotto
395,Strawberry Cake
396,Pyaaz pakora
397,BBQ Chicken Burger + Side
398,Punjabi Chole
399,Palak Matar Ka Shorba
400,Choco chip frappe [double]
401,Bavarian Fruit Cake 500gms Eggless
402,French Fries [pc]
403,Badam Milk 
404,Malai Kofta Brown Gravy
405,Kadai Baby Corn
406,Paneer Hot Garlic Gravy
407,Butter chicken boneless + veg fried rice
408,Naankhatai Biscuit
409,Rajma Dal
410,Roti Tandoori Butter
411,Triple egg omelette
412,Egg & Cheese McMuffin 3 Pc Meal
413,Nepali Aloo Dum
414,Mixed Schezwan Noodles
415,Plain Rice Steamed
416,Fried momo 05 pc                          
417,   McChicken Xplode VM
418,Beef korean rice
419,Konjee Crispy Lamb
420,Veg fried rice in hot garlic sauce
421,Bell-Peppers Mixed Pink Pasta [Mixed Sauce]
422,Chilli Chicken Sizzler
423,The Mafias Meal
424,Creamy Chicken Pizza Non-Veg
425,Schezwan Noodles - Mixed
426,Onion Bhujji 
427,Spicy Korean Noodles
428,Chilli Chicken Boneless
429,Kaju Gilori
430,Pork With Dry Bamboo Shoot - Naga Pickle
431,Punjabi Delight Ice Cream
432,Mushrooms Omlette
433,Mango shake             
434,Classic Veg Burger
435,Pav Bhaji Pav [3 Pieces]
436,Methi Kulcha
437,Korean Cheese Corn Donut (Box Of 1)
438,Egg bora
439,Veg Bul Bul 
440,Spicy Shawarma
441,ME 16 ( Paneer Makhani Burger + F. Fries + Drink )
442,Dal Tadka + Plain Rice
443,Mix veg                                                                        
444,Basmati Pulao Green Peas
445,Snow Spray
446,Chicken Chowmin With Chicken Lollipop
447,Mosambi
448,Donne Veg Biryani (Regular Packaging)
449,Hakka noodles with schezwan chicken
450,Choco Lava Delight Cake
451,Tandoori Roti ( 1 Pc )
452,Kirni Fruit Juice
453,Walnuts From California
454,Baby Corn Manchurian + Chowmine Combo
455,Parwal (1Pc)
456,Pork Biryani
457,Dal do pyaza [full]
458,American Corn & Cheese Enchiladas
459,Tofu Spinach Croissant Sandwich
460,Babycorn fried rice
461,Honey Chilli Wings
462,Vegetable Chop (1Pc)
463,Khumb Hara Pyaz
464,McSpicy Deluxe Paneer Burger Combo
465,Kesariya Malai Ghewar 250 Gram
466,Triple Chicken Burger
467,Kodom Phool (Kheerkodom)
468,Red Velvet DC Cake
469,Monster Platter
470,Punjabi Thali
471,Large EVM Chicken Maharaja Mac®
472,Prawns In Sauce
473,Palak Soya Chaap
474,Bhujia Biscuits (250 Grams)
475,Veg gravy
476,Mathi
477,Tomato Rice 450 Ml+curd Rice 250 Ml+veg 250 Ml+fryums+pickle
478,Jaljeera lemonade
479,Veg gravy noodles noodles
480,Mustard Sauce
481,Paneer Biryani with Raita
482,Rajma  
483,Plain rice [full]
484,Shahi Paneer               
485,Gathiya
486,2 Sauce Wood Fired Pizza  [9 inch]
487,Hydrabadi Veg Biryani
488,Mushroom Manchurian Dry Medium
489,Mutton Hyderabadi Masala
490,Jain Mix Veg Maggi
491,Pineapple Burger
492,Rajma Rice with Sweet Lassi
493,Chaap Lababadar
494,Combo Deal - 4
495,Tandoori Aloo Tikka [10 Pcs]
496,"Fancy Omelette, Toast  3 Eggs"
497,Naughty Nutella Ice Cream (Small Scoop)
498,Mixed Velvet Cake [Half KG]+White Forest Haf Kg                                                  
499,Punjabi Kadhi Pakora [300 ml]
500,Spicy Sour Wings (6 Pcs)     
501,Slow Squeezed Tropical Pineapple Juice
502,Farali Salted Wafer (150 G)
503,Litchi Rabri Cup (Per Pcs)
504,Farm House Pizza
505,Veg capsicum roll
506,Rasbhari ( Mini Rasgulla )
507,Chinese Chicken Chop Suey
508,VADA PAO
509,Crazy Melon
510,Fried Paneer Salad
511,Chicken McNuggets® 6pc
512,Hot Badam Milk
513,Shagun Assorted Sweets Box
514,Sonpapri
515,Makhana Burfi 500 G
516,Veg Manchurian Sauce
517,Raseele Rajma
518,Mushroom Dry Red Chilli
519,Medium Tandoori Chicken Pizza
520,Peri Peri Pizza (Veg)
521,Pan fried momos in chilli sauce
522,Kaju Khatai Biscuit 250gm
523,Aftaabi Paneer Tikka Masala.
524,Rabri(100gm)
525,Mint Lime Juice
526,Indrani
527,Non Veg Pasta Of The Day
528,93 Easy Pour-Over Box
529,Egg Masala (2Pcs)
530,Mini Sohal
531,Chatni Sandwich Without Grill Cheese (110 Gms)
532,Coffee Shots
533,Hyderabadi Chicken Dum Family Bucket Biryani
534,Halwasan Tikdi
535,Chicken Altouni Pizza
536,Bulgogi Pork With Glass Noodles Dosirak
537,Malai Sandwich [ Per Pc ]
538,Mushroom Melt Steak Bowl
539,Chicken thai fried rice
540,Garden Cooler
541,Cheese Plain Dosa  (1 Pc)
542,Mile High Club Non Veg
543,Hakka Veg Noodles
544,Chicken Krisper Burger Combo
545,Mixed Singapore Fried Rice
546,Chicken Masala Fried Peri Peri Momo
547,Special Keema Paratha
548,Hot 'N' Cheesy Burger.
549,Golden Glow Soda
550,Tandoori maggi
551,Zaikedaar Paneer Biryani (Paneer Dum Biryani - Serves 2)
552,Methi Makhana 70 Gms
553,Gujarati Large Thali
554,1 Plate Dahi Bara +12 Pc Pani Batasha
555,Makhani Paneer
556,Mexican Green Veg Pizza
557,Nuella Crepe
558,Dal Fry With Aloo Dum Punjabi & Roti
559,Small Gulab Jamun
560,Wey mix fice
561,Paneer Tandoori Achari Momos [8 Pieces]
562,Chicken Cheesy Momos
563,Prawn Tikka Pizza Medium
564,King Mango Shake
565,Veg Soup
566,2 Appam + Veg Stew
567,Cold Coffee (300 Ml)
568,Iced mocha
569,Mamra Badam Modak
570,Margherita Pizza [12 inches]
571,Afghani Chaap Roll
572,Choco Hazelnut Shake
573,Khajur Ladoo  1 kg
574,Veg Schezwan Noodles 
575,Herb Pulled Chicken Bowl
576,Malai Cham Cham (2 Pcs)
577,Desi Malai Maha Matka Kulfi 500 Ml
578,Schezwan Mixed Veg Noodles
579,Super Delux
580,Veg manchuriyan
581,Veg Kofta [2 Pieces]
582,Box Of Joy -Buy 4 Donuts Get 2 Free
583,Hocco Kulfi Ice Cream
584,Mutton Biryani Lunchbox
585,Hot Fudge Brownie (hamper)                                                                 
586,Sprite 250ml
587,Vegetable Kurma
588,Gold Medal Ribbon Ice Cream (Family Prepack 450 Ml)
589,Thoom Dajaj Chicken
590,Paneer Butter Masala Large
591,Cheese rava masala dosa (served with chutney and sambar)
592,Paneer E Rancho Pizza
593,Chicken paneer roll (1 pcs) + Chicken hariyali kebab (5 pcs) + Chicken biryani (1 plate)                                   
594,Kadai Panneer
595,Paneer Masala Khichdi(desi Ghee)
596,Crown Special Chowmein
597,Ice Cream Falooda+ Oreo Milk Shake With Ice Cream
598,Mushroom Chicken Soup
599,Paneer Bagara Hyderabadi Pulav Meal
600,Veg. Seekh Kebabe
601,Naga style chicken
602,Hyderabadi Pepper Chicken Mini Biryani
603,CHICKEN CURRY LOCAL 
604,Maple Syrup Waffle
605,Barbeque chicken chowmein
606,Veg Pulao Full
607,Mix Veg Panfried Tandoori Momos [8 Pieces]
608,Caramel Fudge Brownie
609,Double Almond Shake
610,Mango Guacamole
611,Moong Dal Halwa (300gm)
612,Schezwan Mix Veg Maggi
613,Butterscotch Cake
614,American Noodle Stir-Fry
615,Chicken Manchurian 
616,Paneer Tikka Salad
617,Hercules Chicken Burger
618,Meat combos
619,Sea Salt & Caramel Brownie [1 Piece]
620,Penang Curry Chicken
621,Rajbhog Shake
622,Coriander (kothimeera) Chicken
623,Cheese balls
624,"Kadhai Chicken & 
Veg Fried Rice
"
625,Chilli Chicken
626,Dum Aloo Bhojpuri
627,Veggie Rice In Schewan Sauce Regular
628,Phiily Cheese Steak Subwich - High Protein
629,Steamed Momos
630,Chicken Shawarma Roll With French Fries
631,Chilli chicken dry [full]
632,Cookies N Cream Chocolate Shake [200 Ml]
633,12 5 Paprika Pizza        
634,Paneer Afghani Wheat Momos [8 Pieces]
635,Fruit & Nut Mix Salad
636,Masala Buttermilk
637,Non Veg Chilli Garlic Noodles
638,Extra Irish
639,Vegetable Roll (3 Pc) + Egg Cheese Burger 1 plate                                                                                      
640,Filter Kappi
641,Chicken butter garlic noodles
642,Hot Rosogolla 1 Pc 
643,Dahi Vada Papdi Chat 
644,Kadhi Combo
645,Rice with garlic pork
646,Stuffed tomato
647,CHICKEN ROYALE BURGER + MANGO DRINK (m)
648,Idiyappam Thenga Paal ( Coconut Milk )
649,Chicken Lollipop 6 Pieces
650,Strawberry thick shake
651,Rajastani Thali
652,Modak Hamper
653,Cheese Garlic Naan     
654,Bombaiya Meetha Paan 
655,"Chicken Do Pyaza Gravy [4 Large Pieces, Full]"
656,Mugh Makhanwala and Phulka
657,Tandoori Chicken Kadai Masala
658,3 Premium Non Veg Burgers + Beverage + Fries
659,Paneer In Sweet Chilli Sauce
660,Chicken Bucket ( Indian Fiery ) - 8 Pcs
661,Puri chola
662,The Dark Sweet Triple Treat Box (3 Donuts)
663,Pesarattu
664,Veg Panner Roll
665,Seafood Lemon Coriander Soup
666,Prawn Tom Kha Soup
667,Paneer Pakoda [6 Pieces]
668,Southern Spice Chicken Burst Pizza (Med)
801,Mushroom Manchurian 
669,Mughlai Grilled Chicken Rice Bowl with Omelette
670,PINEAPPLE CAKE E/L 1kg
671,Kajuu Katli (1kg)
672,Chicken Pot Rice
673,Hot Chocolate Fudge Sundae
674,Hot Milk
675,Ghee Roast Onion Masala Dosa
676,Fresh Mango Cream
677,Lasagne Alla Napoletana
678,Supreme Veggies Pizza [12 inches]
679,Panner Tikka Achari
680,Dhariya Mutton Biryani
681,American Smoked Sausage Wholewheat Wrap
682,Choco Delight Pastry Slice
683,Kashmiri Handi
684,Mix Paratha
685,Kesar Petha
686,Mutton Kassa
687,Brownie shake
688,Chicken Wings 4 Pcs
689,Paneer Exotica Thick Pizza (25 Cm)
690,Chole Bhature
691,Chicken Chowmein  
692,Badusha
693,Guacamole (200 Ml)
694,Smoke Chicken Burger [pc]
695,Aloo Tikki with Choley
696,Rainbow Fantasy Cake 500gms
697,Syrup Khus (750ml)
698,Egg Curry Paratha Meal
699,Thread Paneer
700,Chicken Patty Burger
701,Paneer Jalebi
702,Khajur Nutty Buddy (sugar Free )
703,Garlic Chicken  
704,Choco Cake
705,Gol Gappa (6 Pcs)
706,Paneer Tikka Roll + 1 Thums Up [250 ml] + Gulab Jamun [1 Pc].
707,XI-HU-STYLE CHICKEN SOUP
708,Wazwan Thalli
709,Kathi Roll
710,Idli (2 Pcs) & Vada (1 Pc)                           
711,Vanilla Ice cream (700 ml Mega Savor Pack)
712,Chicken Chilli [Boneless]
713,Extra Cheese On Regular Pizza
714,New York Choco-Cookies & Crème Ice Cream [140 ML]
715,Shisham roll [8 pieces]
716,Assorted Cupcakes[set-1][9pcs]
717,Bhakar Badi
718,Chicken Chatpati
719,Chicken Momo Fried [8pieces]
720,Focaccia Bread
721,Mixed
722,Veg.Fried Noodles [Medium]
723,Mini Cheese Garlic Bread
724,Ven Pongal with Chutneys (Serves 1)
725,Paneer 69   
726,Raagi Roti (2 Pc)
727,Chaap Kebab
728,Lemon Honey Iced Tea 200 Ml
729,Garlic Rice(750Gms)
730,Fried Momo Chicken
731,Beef Gyoza
732,American Lo Mein
733,Mexican Veggie Nachos
734,Lychee Strawberry Cake (675 Ml)
735,Galic Naan
736,Classic Rasmalai Pastry
737,Chicken schezwan hakka noodles [full]
738,Half &Half Large Pizza
739,Pepsi Black 330ml
740,Mirchi Bhujia (500Gm)
741,Mix Veg Manchurian Gravy
742,Pani Batasha 10 Pc
743,Daily Mix Fruit Salad + Watermelon Juice
744,1 Veg & 1 Non-Veg Half Kg Biryani at 229 Each (Eligible for Coupons)
745,Chicken Kalimirch Kabah
746,Kalakand [ 250 Grams ]
747,Smoky Chicken and Cheese Omelette
748,Aloo Gobi Matter
749,Veg Saahi Pulao
750,Veg Kabab Paratha [Full Plate]
751,Sugarfree Rabri (250gms)
752,Chicken Kheema & Rice Mini LunchBox
753,"Homemade Nachos, Stir Fried Vegetables"
754,Pork Pad Thai
755,Basmati Steamed Rice (full)
756,Fries (Large)
757,Murg Mushallam
758,Kesari Rajbhog
759,Mixed Hakka Noodles   
760,South Indian Thali
761,American Nuts Ice Cream
762,Crunchy Chicken  Burger
763,Strawberry Cream Shake
764,Tutti Frutti - Round Cake
765,Bada Ghewar Malai ( Per Pc )
766,Prawns ramen
767,Dark Choclate Egg Less Cake [500 Grams]
768,Fresh Cream Pineapple Pastry [1 Piece]
769,Paneer Spicy Kofta (250 Gms)
770,Kadhai Soya Chaap With 4Butter Roti
771,Chocolate Flavoured Shake+ Fries (M)
772,Non veg pan fried momos
773,Grilled Mutton Mandi
774,EVM   McCrispy® Chicken Double patty Burger 
775,Combo Mushroom Hotdog 
776,ChaiBite Tea Kettle - For Two
777,Sanghai Noodles Pork             
778,Paneer Makai Tawa Masala
779,Apple Berry Oatmeal Jar
780,Mushroom Pepper Salts
781,Spaghetti Alfredo Creamy With Sauce [Chicken]
782,Special Palak Paneer with chole chawal & Sweet Lassi                           
783,Chinese Combo [ Veg Fried Rice + Manchurian Gravy ]
784,Onion Rava Dosa + 1 Vada
785,Dal Fry And Kulcha Combo
786,"White Rice Puttu [Small, 2 Pieces]"
787,Chicken Rooster Club Sandwich
788,Superhero Omelette
789,Chilli Chicken (dry) (boneless)
790,A2b Special Curry
791,Chakhwi
792,Apricot Tres De Leche  ( Serves 2 )
793,Vegetable Penne arrabbiata
794,Special Shawarma Roll
795,Chicken Stream Momo Half
796,Paneer uttappam
797,Pizza Base 8-wheat - 2pcs
798,The Urban Pind Spl. Paneer Mushroom Veg Biryani Served With Gravy +  (rasbhari Jamun Rasgulla Box)
799,Classic Flavored Cold Coffee
800,Cotton Candy Ice Cream Rocks
802,It's a Boy Photo Cake
803,Garlic Chicken Boneless
804,Kulcha with Pindi Choley and Dessert Meal (Serves 1)
805,Whole Wheat Chapati (1 Pc)
806,Toblerone Shake (new)
807,Chicken Biryani (Boneless)
808,Chicken Afghani Kabab
809,Boneless Murgh Afghani Biryani [500 gm]
810,Lemom Coriander Soup
811,McAloo Tikki Burger + Veg Pizza McPuff + Piri Piri Spice Mix
812,Butter Paneer With 2 Lucknowi Paratha
813,Beef Burger
814,Aloo Paratha (2 pcs) with Curd and Pickle
815,Kaju Gulkand Modak
